Town_Town,PILOT StateOwned Real Property_FY 2017,PILOT StateOwned Real Property_FY 2018,PILOT Colleges  Hospitals_FY 2017,PILOT Colleges  Hospitals_FY 2018,Mashantucket Pequot And Mohegan Fund Grant_FY 2017,Mashantucket Pequot And Mohegan Fund Grant_FY 2018,Adult Education_FY 2017,Adult Education_FY 2018,Education Cost Sharing_FY 2017,Education Cost Sharing_FY 2018,MRSA Municipal Revenue Sharing Grant_FY 2017,MRSA Municipal Revenue Sharing Grant_FY 2018,MRSA Additional Payment in Lieu of Taxes_FY 2017,MRSA Additional Payment in Lieu of Taxes_FY 2018,MRSA Motor Vehicle Property Tax Grants_FY 2017,MRSA Motor Vehicle Property Tax Grants_FY 2018,TOTAL Statutory Formula Aid_FY 2017,TOTAL Statutory Formula Aid_FY 2018
Windsor Locks,"25,283",0,0,0,"424,822",0,"18,615","22,431","5,167,806","2,068,980","256,241","368,853","31,122","32,533",0,0,"5,923,889","2,492,797"
Wolcott,0,0,0,0,"61,364",0,"4,089","4,249","13,423,576","5,758,423","340,859","490,659",0,0,0,0,"13,829,888","6,253,331"
Woodbridge,0,0,0,0,"11,188",0,0,0,"656,185","31,797","247,758","274,418",0,0,0,"276,815","915,131","583,030"
Woodbury,194,0,0,0,"19,685",0,0,0,"1,276,811","117,400","200,175","288,147",0,0,0,0,"1,496,865","405,547"
Woodstock,"1,581",0,0,0,"26,183",0,"8,946","9,177","5,356,542","2,430,182","97,708","140,648",0,0,0,0,"5,490,960","2,580,007"
Bantam (Bor.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Danielson (Bor.),"11,973",0,0,0,0,0,0,0,0,0,0,0,"2,135","2,232",0,0,"14,108","2,232"
Fenwick (Bor.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Groton (City of),"56,213",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"56,213",0
Groton Long Point,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jewett City (Bor.),541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,541,0
Litchfield (Bor.),765,0,0,0,0,0,0,0,0,0,0,0,137,143,0,0,902,143
Newtown (Bor.),129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0
Stonington (Bor.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Woodmont (Bor.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District No. 1,0,0,0,0,0,0,"3,282","3,239",0,0,0,0,0,0,0,0,"3,282","3,239"
District No. 4,0,0,0,0,0,0,"9,737","11,289",0,0,0,0,0,0,0,0,"9,737","11,289"
District No. 5,0,0,0,0,0,0,"3,131","3,181",0,0,0,0,0,0,0,0,"3,131","3,181"
District No. 6,0,0,0,0,0,0,438,433,0,0,0,0,0,0,0,0,438,433
District No. 7,0,0,0,0,0,0,"5,221","5,424",0,0,0,0,0,0,0,0,"5,221","5,424"
District No. 8,0,0,0,0,0,0,"23,912","23,635",0,0,0,0,0,0,0,0,"23,912","23,635"
District No. 10,0,0,0,0,0,0,"2,437","2,309",0,0,0,0,0,0,0,0,"2,437","2,309"
District No. 12,0,0,0,0,0,0,68,67,0,0,0,0,0,0,0,0,68,67
District No. 13,0,0,0,0,0,0,"9,960","9,254",0,0,0,0,0,0,0,0,"9,960","9,254"
District No. 14,0,0,0,0,0,0,"5,833","5,327",0,0,0,0,0,0,0,0,"5,833","5,327"
District No. 15,0,0,0,0,0,0,981,932,0,0,0,0,0,0,0,0,981,932
District No. 16,0,0,0,0,0,0,"2,013","1,986",0,0,0,0,0,0,0,0,"2,013","1,986"
District No. 17,0,0,0,0,0,0,"6,769","6,426",0,0,0,0,0,0,0,0,"6,769","6,426"
District No. 18,0,0,0,0,0,0,"2,765","2,736",0,0,0,0,0,0,0,0,"2,765","2,736"
District No. 19,0,0,0,0,0,0,"56,548","55,451",0,0,0,0,0,0,0,0,"56,548","55,451"
Education Conn,0,0,0,0,0,0,"133,169","131,299",0,0,0,0,0,0,0,0,"133,169","131,299"
EASTCONN,0,0,0,0,0,0,"30,799","30,177",0,0,0,0,0,0,0,0,"30,799","30,177"
SDE Admin Costs,0,0,0,0,0,0,"1,019,198","1,019,198",0,0,0,0,0,0,0,0,"1,019,198","1,019,198"
Blmfld Cntr FD,0,0,"4,922",0,0,0,0,0,0,0,0,0,0,0,0,0,"4,922",0
Blmfld Blue Hills FD,0,0,0,0,0,0,0,0,0,0,"92,961",0,0,0,0,0,"92,961",0
Cromwell FD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hazardville FD #3,0,0,"1,821",0,0,0,0,0,0,0,0,0,0,0,0,0,"1,821",0
Enfield Thmpsnvll,0,0,0,0,0,0,0,0,0,0,"354,311",0,0,0,0,0,"354,311",0
Manchester - 8th Utility Dist,0,0,0,0,0,0,0,0,0,0,"436,718",0,0,0,0,0,"436,718",0
Groton: Poq. Brdg FD,0,0,"9,445",0,0,0,0,0,0,0,0,0,0,0,0,0,"9,445",0
Middletown City FD,0,0,0,0,0,0,0,0,0,0,"910,442",0,0,0,0,0,"910,442",0
Middletown South Fire,0,0,"7,504",0,0,0,0,0,0,0,"413,961",0,"1,121","1,172",0,0,"422,586","1,172"
N. Milford FD,0,0,"5,737",0,0,0,0,0,0,0,0,0,0,0,0,0,"5,737",0
Norwich - CCD,0,0,0,0,0,0,0,0,0,0,"552,565",0,0,0,0,0,"552,565",0
Norwich - TCD,0,0,0,0,0,0,0,0,0,0,"62,849",0,0,0,0,0,"62,849",0
Simsbury FD,0,0,0,0,0,0,0,0,0,0,"221,536",0,0,0,0,0,"221,536",0
Plainfield FD,0,0,"1,976",0,0,0,0,0,0,0,0,0,296,309,0,0,"2,272",309
W. Putnam Dist,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0
Wndhm Spec Svc Dist #2,0,0,0,0,0,0,0,0,0,0,"640,000",0,0,0,0,0,"640,000",0
W Haven 1st Center,0,0,"843,511",0,0,0,0,0,0,0,"1,039,843",0,"1,136","1,187",0,0,"1,884,490","1,187"
Allingtown,0,0,"339,600",0,0,0,0,0,0,0,"483,505",0,"50,751","53,053",0,0,"873,856","53,053"
W. Shore FD,0,0,"224,454",0,0,0,0,0,0,0,"654,640",0,"33,544","35,065",0,0,"912,638","35,065"
Various Fire Dist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTALS,"66,730,438",0,"114,950,767",0,"58,076,610",0,"20,284,988","20,284,988","2,017,587,098","1,511,749,344","127,851,808","109,267,688","44,101,081","46,101,081",0,"77,969,733","2,449,582,790","1,765,372,834"
