Town_Town,PILOT StateOwned Real Property_FY 2017,PILOT StateOwned Real Property_FY 2018,PILOT Colleges  Hospitals_FY 2017,PILOT Colleges  Hospitals_FY 2018,Mashantucket Pequot And Mohegan Fund Grant_FY 2017,Mashantucket Pequot And Mohegan Fund Grant_FY 2018,Adult Education_FY 2017,Adult Education_FY 2018,Education Cost Sharing_FY 2017,Education Cost Sharing_FY 2018,MRSA Municipal Revenue Sharing Grant_FY 2017,MRSA Municipal Revenue Sharing Grant_FY 2018,MRSA Additional Payment in Lieu of Taxes_FY 2017,MRSA Additional Payment in Lieu of Taxes_FY 2018,MRSA Motor Vehicle Property Tax Grants_FY 2017,MRSA Motor Vehicle Property Tax Grants_FY 2018,TOTAL Statutory Formula Aid_FY 2017,TOTAL Statutory Formula Aid_FY 2018
Morris,820,0,0,0,"11,054",0,0,0,"102,178","31,500","28,110","40,463",0,0,0,0,"142,162","71,963"
Naugatuck,"2,998",0,0,0,"230,356",0,"204,943","202,559","30,280,380","25,108,199","2,405,660","1,251,980",0,0,0,"2,379,896","33,124,337","28,942,634"
New Britain,"3,276,462",0,"2,520,682",0,"2,193,488",0,"546,113","587,827","86,195,269","94,446,094","5,781,991","3,131,893","1,995,060","2,085,537",0,"5,108,889","102,509,065","105,360,240"
New Canaan,"7,331",0,0,0,"8,954",0,69,34,"339,590",0,"168,106","241,985",0,0,0,0,"524,050","242,019"
New Fairfield,127,0,0,0,"29,123",0,"3,961","3,755","4,338,569",0,"288,278","414,970",0,0,0,0,"4,660,058","418,725"
New Hartford,0,0,0,0,"19,069",0,"2,691","2,845","3,113,169","922,227","140,338","202,014",0,0,0,0,"3,275,267","1,127,086"
New Haven,"6,013,572",0,"40,688,189",0,"5,794,422",0,"2,796,517","2,727,038","154,301,977","131,520,286","2,118,290","114,863","14,584,940","15,246,372",0,"4,278,601","226,297,907","153,887,160"
New London,"295,665",0,"4,710,585",0,"1,737,694",0,"1,126,586","1,113,961","25,806,077","26,620,129","750,249","917,228","1,297,919","1,356,780",0,"678,319","35,724,775","30,686,417"
New Milford,194,0,"89,321",0,"76,718",0,"33,326","40,986","11,832,806","1,595,574","565,898","814,597",0,0,0,0,"12,598,263","2,451,157"
Newington,"560,153",0,"1,529,519",0,"248,178",0,"38,839","37,300","12,983,806","7,221,641","651,000","937,100","169,211","176,884",0,"668,057","16,180,706","9,040,982"
Newtown,"733,247",0,0,0,"911,124",0,"4,497","4,054","4,893,944",0,"572,949","824,747",0,0,0,"335,300","7,115,761","1,164,101"
Norfolk,"72,627",0,"44,716",0,"13,317",0,268,240,"25,815","4,200","20,141","28,993",0,0,0,0,"176,884","33,433"
North Branford,0,0,0,0,"42,037",0,"47,090","41,720","8,076,776","2,401,115","292,517","421,072",0,0,0,0,"8,458,420","2,863,907"
North Canaan,"6,827",0,0,0,"21,925",0,0,0,"2,044,243","659,901","66,052","95,081","4,203","4,393",0,0,"2,143,250","759,375"
North Haven,"2,621",0,"578,614",0,"151,159",0,"7,223","6,692","3,842,088",0,"487,882","702,295",0,0,0,0,"5,069,587","708,987"
North Stonington,219,0,0,0,"841,889",0,"7,961","9,502","2,834,470","601,940","107,832","155,222",0,0,0,0,"3,792,371","766,664"
Norwalk,"31,982",0,"1,471,056",0,"816,834",0,"78,352","78,645","11,243,340","6,815,851","3,401,590","4,896,511",0,0,0,0,"17,043,154","11,791,007"
Norwich,"612,634",0,"758,666",0,"1,912,306",0,"323,371","319,352","36,209,664","35,143,870","1,309,943","1,362,971","248,588","259,862",0,"1,534,355","41,375,172","38,620,410"
Old Lyme,146,0,"2,006",0,"14,487",0,0,0,"247,462","104,700","79,946","115,080",0,0,0,0,"344,047","219,780"
Old Saybrook,0,0,0,0,"14,601",0,"4,720","4,652","122,907",0,"101,527","146,146",0,0,0,0,"243,755","150,798"
Orange,194,0,"151,773",0,"43,490",0,0,0,"1,509,226","51,688","284,365","409,337",0,0,0,0,"1,989,048","461,025"
Oxford,"163,743",0,0,0,"25,388",0,"1,214","1,395","4,528,763",0,"171,492","246,859",0,0,0,0,"4,890,600","248,254"
Plainfield,"1,260",0,"34,410",0,"122,528",0,"107,902","105,120","15,364,444","10,645,469","310,350","446,742","15,417","16,116",0,0,"15,956,311","11,213,447"
Plainville,388,0,0,0,"72,491",0,"122,743","122,075","10,272,197","7,718,839","363,176","522,783",0,0,0,0,"10,830,995","8,363,697"
Plymouth,458,0,0,0,"69,784",0,"11,468","11,411","9,761,632","6,651,926","255,581","367,902",0,0,0,"266,550","10,098,923","7,297,789"
Pomfret,"27,221",0,0,0,"19,468",0,"6,015","4,591","3,073,015","1,170,484","54,257","78,101",0,0,0,0,"3,179,976","1,253,176"
Portland,199,0,0,0,"27,715",0,"10,709","10,945","4,363,751","2,474,154","192,715","277,409",0,0,0,0,"4,595,089","2,762,508"
Preston,716,0,0,0,"1,125,119",0,"20,780","20,700","3,012,017","1,631,908","58,934","84,835",0,0,0,0,"4,217,566","1,737,443"
Prospect,0,0,0,0,"26,955",0,0,0,"5,297,609","1,622,598","197,097","283,717",0,0,0,0,"5,521,661","1,906,315"
Putnam,0,0,"212,667",0,"103,555",0,"67,026","65,727","8,340,282","5,904,063","76,399","109,975",0,0,0,0,"8,799,929","6,079,765"
Redding,"94,856",0,0,0,"10,912",0,554,547,"180,135","16,000","189,781","273,185",0,0,0,0,"476,238","289,732"
Ridgefield,"2,087",0,0,0,"14,143",0,586,578,"571,648",0,"512,848","738,233",0,0,0,0,"1,101,312","738,811"
Rocky Hill,"774,861",0,0,0,"268,992",0,"10,124","9,694","4,250,230","1,656,580","405,872","584,244",0,0,0,0,"5,710,079","2,250,518"
Roxbury,64,0,0,0,"8,056",0,0,0,"33,612","22,000","15,998","23,029",0,0,0,0,"57,730","45,029"
Salem,"47,337",0,0,0,"18,219",0,"4,450","4,126","3,049,314","756,128","85,617","123,244",0,0,0,0,"3,204,937","883,498"
Salisbury,108,0,0,0,"9,066",0,0,0,"10,871","2,308","20,769","29,897",0,0,0,0,"40,814","32,205"
Scotland,"16,880",0,0,0,"15,714",0,"1,806","1,746","1,423,001","651,697","36,200","52,109",0,0,0,"38,005","1,493,601","743,557"
Seymour,0,0,0,0,"67,844",0,"75,988","75,666","10,040,987","6,674,909","343,388","494,298",0,0,0,"249,143","10,528,207","7,494,016"
Sharon,0,0,0,0,"9,111",0,0,0,"9,960","2,154","19,467","28,022",0,0,0,0,"38,538","30,176"
Shelton,344,0,0,0,"74,849",0,"37,518","37,740","5,893,771",0,"706,038","1,016,326",0,0,0,0,"6,712,520","1,054,066"
Sherman,0,0,0,0,"9,925",0,178,199,"46,611",0,"39,000","56,139",0,0,0,0,"95,714","56,338"
Simsbury,"2,555",0,0,0,"28,478",0,"13,657","12,604","6,087,799",0,"567,460","775,368","20,731","21,671",0,"1,302,932","6,720,680","2,112,575"
Somers,"1,364,700",0,0,0,"1,609,537",0,"11,126","10,571","5,929,453","3,052,330","141,697","203,969",0,0,0,0,"9,056,513","3,266,870"
South Windsor,78,0,0,0,"54,351",0,"12,360","9,956","12,826,469","1,670,804","558,715","804,258",0,0,0,"830,111","13,451,973","3,315,129"
Southbury,"171,469",0,0,0,"37,696",0,0,0,"3,458,266","255,200","404,731","582,601",0,0,0,0,"4,072,162","837,801"
Southington,0,0,0,0,"126,114",0,"13,020","15,104","20,268,059","10,121,941","889,821","1,280,877",0,0,0,0,"21,297,014","11,417,922"
Sprague,366,0,0,0,"26,245",0,"16,071","15,783","2,612,273","2,235,859","89,456","128,769",0,0,0,0,"2,744,411","2,380,411"
Stafford,"4,404",0,"213,778",0,"93,160",0,"26,296","25,081","9,790,490","6,338,680","243,095","349,930","41,189","43,057",0,"134,196","10,412,412","6,890,944"
Stamford,"1,065,042",0,"1,837,777",0,"884,033",0,"333,828","329,862","10,803,759","9,282,469","2,372,358","3,414,955","528,332","552,292",0,0,"17,825,129","13,579,578"
Sterling,131,0,0,0,"33,410",0,"11,283","11,144","3,196,216","2,236,114","77,037","110,893",0,0,0,0,"3,318,077","2,358,151"
Stonington,0,0,0,0,"33,057",0,"8,095","8,228","1,649,159",0,"202,888","292,053",0,0,0,0,"1,893,199","300,281"
Stratford,"122,285",0,0,0,"160,760",0,"111,908","113,549","21,461,782","16,141,557","1,130,316","1,627,064",0,0,0,"1,325,915","22,987,051","19,208,085"
Suffield,"2,426,766",0,0,0,"2,830,235",0,"8,075","8,139","6,221,145","2,626,152","321,763","463,170","51,434","53,767",0,0,"11,859,418","3,151,228"
Thomaston,"5,728",0,0,0,"40,123",0,"11,023","11,138","5,624,815","3,279,650","158,888","228,716",0,0,0,"100,617","5,840,577","3,620,121"
Thompson,41,0,0,0,"63,550",0,"47,732","47,434","7,534,704","4,318,905","114,582","164,939",0,0,0,0,"7,760,609","4,531,278"
Tolland,0,0,0,0,"34,843",0,"8,984","8,436","10,699,177","2,500,314","303,971","437,559",0,0,0,0,"11,046,975","2,946,309"
Torrington,"96,492",0,"238,519",0,"287,599",0,"126,439","129,092","24,482,865","22,998,926","2,435,109","1,133,394",0,0,0,"1,024,732","27,667,023","25,286,144"
Trumbull,0,0,"3,260",0,"49,941",0,"13,226","15,259","3,418,401",0,"745,325","1,072,878",0,0,0,"48,361","4,230,153","1,136,498"
Union,"25,513",0,0,0,"21,443",0,"1,809","1,562","237,166","30,064","17,283","24,878",0,0,0,0,"303,214","56,504"
Vernon,"113,496",0,"317,760",0,"158,914",0,"231,815","227,337","19,250,233","16,403,186","641,027","922,743",0,0,0,"839,214","20,713,245","18,392,480"
Voluntown,"71,479",0,"56,167",0,"88,305",0,"7,822","7,786","2,502,621","1,060,268","33,914","48,818",0,0,0,0,"2,760,308","1,116,872"
Wallingford,0,0,"152,586",0,"156,083",0,"262,909","265,405","21,301,522","7,278,568","919,984","1,324,296","58,914","61,586",0,0,"22,851,998","8,929,855"
Warren,"9,522",0,0,0,"8,203",0,0,0,"33,205","15,900","11,006","15,842",0,0,0,0,"61,936","31,742"
