index,grantee,pilot state owned real property_fy 2017,pilot state owned real property_gov rec original fy 18,pilot state owned real property_gov rec original fy 19,pilot state owned real property_gov rec revised fy 18,pilot state owned real property_gov rec revised fy 19,pilot state owned real property,pilot colleges hospitals_fy 2017,pilot colleges hospitals_gov rec original fy 18,pilot colleges hospitals_gov rec original fy 19,pilot colleges hospitals_gov rec revised fy 18,pilot colleges hospitals_gov rec revised fy 19,pilot colleges hospitals,mashantucket pequot and mohegan fund grant_fy 2017 ,mashantucket pequot and mohegan fund grant_gov rec original fy 18,mashantucket pequot and mohegan fund grant_gov rec original fy 19,mashantucket pequot and mohegan fund grant_gov rec revised fy 18,mashantucket pequot and mohegan fund grant_gov rec revised fy 19,mashantucket pequot and mohegan fund grant,town aid road grant_fy 2017,town aid road grant_gov rec original fy 18,town aid road grant_gov rec original fy 19,town aid road grant_gov rec revised fy 18,town aid road grant_gov rec revised fy 19,town aid road grant,local capital improvement locip _fy 2017,local capital improvement locip _gov rec original fy 18,local capital improvement locip _gov rec original fy 19,local capital improvement locip _gov rec revised fy 18,local capital improvement locip _gov rec revised fy 19,local capital improvement locip _30000000 0,local capital improvement locip ,local capital improvement locip ,adult education _fy 2017,adult education _gov rec original fy 18,adult education _gov rec original fy 19,adult education _gov rec revised fy 18,adult education _gov rec revised fy 19,adult education ,education cost sharing _fy 2017,education cost sharing _gov rec original fy 18,education cost sharing _gov rec original fy 19,education cost sharing _gov rec revised fy 18,education cost sharing _gov rec revised fy 19,education cost sharing _fy 18 ct mirror,education cost sharing ,special education_fy 2017,special education_gov rec original fy 18,special education_gov rec original fy 19,special education_gov rec revised fy 18,special education_gov rec revised fy 19,special education,grants for municipal projects_fy 2017,grants for municipal projects_gov rec original fy 18,grants for municipal projects_gov rec original fy 19,grants for municipal projects_gov rec revised fy 18,grants for municipal projects_gov rec revised fy 19,grants for municipal projects,mrsf municipal revenue sharing grant_fy 2017,mrsf municipal revenue sharing grant_gov rec original fy 18,mrsf municipal revenue sharing grant_gov rec original fy 19,mrsf municipal revenue sharing grant_gov rec revised fy 18,mrsf municipal revenue sharing grant_gov rec revised fy 19,mrsf municipal revenue sharing grant,mrsf additional payment in lieu of taxes _fy 2017,mrsf additional payment in lieu of taxes _gov rec original fy 18,mrsf additional payment in lieu of taxes _gov rec original fy 19,mrsf additional payment in lieu of taxes _gov rec revised fy 18,mrsf additional payment in lieu of taxes _gov rec revised fy 19,mrsf additional payment in lieu of taxes ,mrsf motor vehicle property tax grants_fy 2017,mrsf motor vehicle property tax grants_gov rec original fy 18,mrsf motor vehicle property tax grants_gov rec original fy 19,mrsf motor vehicle property tax grants_gov rec revised fy 18,mrsf motor vehicle property tax grants_gov rec revised fy 19,mrsf motor vehicle property tax grants,mrsf urban stabilization grants_fy 2017,mrsf urban stabilization grants_gov rec original fy 18,mrsf urban stabilization grants_gov rec original fy 19,mrsf urban stabilization grants_gov rec revised fy 18,mrsf urban stabilization grants_gov rec revised fy 19,mrsf urban stabilization grants,total statutory formula aid _fy 2017,total statutory formula aid _gov rec original fy 18,total statutory formula aid _gov rec original fy 19,total statutory formula aid _gov rec revised fy 18,total statutory formula aid _gov rec revised fy 19,total statutory formula aid ,less reimbursement from towns for teachers retirement_fy 2017,less reimbursement from towns for teachers retirement_gov rec original fy 18,less reimbursement from towns for teachers retirement_gov rec original fy 19,less reimbursement from towns for teachers retirement_gov rec revised fy 18,less reimbursement from towns for teachers retirement_gov rec revised fy 19,less reimbursement from towns for teachers retirement,local property tax revenue on hospital real property _fy 2017,local property tax revenue on hospital real property _gov rec original fy 18,local property tax revenue on hospital real property _gov rec original fy 19,local property tax revenue on hospital real property _gov rec revised fy 18,local property tax revenue on hospital real property _gov rec revised fy 19,local property tax revenue on hospital real property ,cumulative total_fy 2017,cumulative total_gov rec original fy 18,cumulative total_gov rec original fy 19,cumulative total_gov rec revised fy 18,cumulative total_gov rec revised fy 19,cumulative total,cumulative total_diff fy 18 gov rec vs gov rec ii,cumulative total_diff fy 19 gov rec vs comm,cumulative total,cumulative total_diff fy 18 gov rec vs fy 17,cumulative total
13,Bloomfield,14068.0,16372.57,16372.57,0.0,0.0,,190614.0,91525.0,91525.0,0.0,0.0,,99359.04,149113.62,149113.62,0.0,0.0,,336630.87,336630.87,336630.87,336630.87,336630.87,,0.0,228873.0,145646.0,228873.0,145646.0,0.0041613334769,124840.004307,,20719.0,22062.0,22062.0,22062.0,22062.0,,6160837.0,4275167.0,4275167.0,3087732.0,3087732.0,6298995.0,,311784.0,1662540.0,1662540.0,777719.0,777719.0,,1701346.7699,0.0,0.0,0.0,0.0,,438458.0,1631150.0,1631150.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,698151.983387,698151.983387,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,8962032.6799,9111586.04339,9028359.04339,4453016.87,4369789.87,,0.0,-2009129.13012,-2074425.91637,-1971457.61579,-1971457.61579,,0.0,0.0,0.0,0.0,0.0,,8962032.6799,7102456.91327,6953933.12701,2481559.25421,2398332.25421,,-4620897.65906,-4555600.8728,,-6480473.42569,
14,Bolton,15913.0,29130.65,29130.65,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,10798.92,16278.98,16278.98,0.0,0.0,,200385.34,200385.34,200385.34,200385.34,200385.34,,0.0,69338.0,44124.0,69338.0,44124.0,0.00126069278867,37820.7836601,,3679.0,3823.0,3823.0,3823.0,3823.0,,2983350.0,1684604.0,1684604.0,1329088.0,1329088.0,3014125.0,,209560.0,616465.0,616465.0,300552.0,300552.0,,24859.1584601,0.0,0.0,0.0,0.0,,106449.0,153231.0,153231.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,144994.470487,144994.470487,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,3345434.41846,2918250.44049,2893036.44049,1903186.34,1877972.34,,0.0,-713026.54395,-736199.9384,-699657.174473,-699657.174473,,0.0,0.0,0.0,0.0,0.0,,3345434.41846,2205223.89654,2156836.50209,1203529.16553,1178315.16553,,-1001694.73101,-978521.336559,,-2141905.25293,
15,Bozrah,0.0,3650.93,3650.93,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,10761.3,16044.55,16044.55,0.0,0.0,,181709.74,181709.74,181709.74,181709.74,181709.74,,0.0,49934.0,31776.0,49934.0,31776.0,0.000907892262676,27236.7678803,,6841.0,6877.0,6877.0,6877.0,6877.0,,1223830.0,931140.0,931140.0,814562.0,814562.0,1240328.0,,112607.0,518457.0,518457.0,529407.0,529407.0,,138521.22776,0.0,0.0,0.0,0.0,,53783.0,77420.0,77420.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,1615446.26776,1785233.22,1767075.22,1582489.74,1564331.74,,0.0,-272945.868415,-281816.6213,-267828.086765,-267828.086765,,0.0,0.0,0.0,0.0,0.0,,1615446.26776,1512287.35159,1485258.5987,1314661.65323,1296503.65323,,-197625.698351,-188754.945465,,-300784.614525,
16,Branford,0.0,38694.51,38694.51,0.0,0.0,,0.0,109478.0,109478.0,0.0,0.0,,35494.8,54186.86,54186.86,0.0,0.0,,400003.56,400003.56,400003.56,400003.56,400003.56,,0.0,285085.0,181417.0,285085.0,181417.0,0.0051833713643,155501.140929,,21033.0,21252.0,21252.0,21252.0,21252.0,,2211848.0,0.0,0.0,0.0,0.0,2425443.0,,586090.0,1514029.0,1514029.0,0.0,0.0,,374850.165888,0.0,0.0,0.0,0.0,,570402.0,821080.0,821080.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,3613631.52589,3243808.93,3140140.93,706340.56,602672.56,,0.0,-2747783.59401,-2837086.68325,-2696262.18233,-2696262.18233,,0.0,0.0,0.0,0.0,0.0,,3613631.52589,496025.33599,303054.246747,-1989921.62233,-2093589.62233,,-2485946.95832,-2396643.86907,,-5603553.14821,
17,Bridgeport,2367096.0,2782382.69,2782382.69,2782382.69,2782382.69,,7454025.0,1961507.0,1961507.0,1961507.0,1961507.0,,3902642.04,5856925.34,5856925.34,0.0,0.0,,1390777.68,1390777.68,1390777.68,1390777.68,1390777.68,,0.0,4352575.0,2769820.0,4352575.0,2769820.0,0.0791378452601,2374135.3578,,2071995.0,2057245.0,2057245.0,2057245.0,2057245.0,,181105390.0,155146948.0,155146948.0,170032644.0,170032644.0,181523711.0,,4885949.0,39109458.0,39109458.0,50132902.0,50132902.0,,1031563.63522,0.0,0.0,0.0,0.0,,14476283.0,9758441.0,9758441.0,0.0,0.0,,3095669.0,3236058.0,3236058.0,0.0,0.0,,0.0,5222046.50678,5222046.50678,0.0,0.0,,0.0,0.0,0.0,8053083.0,8053083.0,,216895441.355,230874364.217,229291609.217,240763116.37,239180361.37,,0.0,-12908367.7556,-13327890.2829,-12666333.6556,-12666333.6556,,0.0,20015970.2505,20015970.2505,20015970.2505,20015970.2505,,216895441.355,237981966.712,235979689.184,248112752.965,246529997.965,,10130786.2533,10550308.7805,,31217311.6097,
18,Bridgewater,51.0,766.44,766.44,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,5445.66,8143.42,8143.42,0.0,0.0,,178701.31,178701.31,178701.31,178701.31,178701.31,,0.0,43277.0,27540.0,43277.0,27540.0,0.000786855718585,23605.6715575,,0.0,0.0,0.0,0.0,0.0,,23014.0,12100.0,12100.0,12100.0,12100.0,38120.0,,9182.0,18275.0,18275.0,0.0,0.0,,586.922817363,0.0,0.0,0.0,0.0,,15670.0,22557.0,22557.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,223468.892817,283820.17,268083.17,234078.31,218341.31,,0.0,-169504.192986,-175013.086811,-166325.960417,-166325.960417,,0.0,0.0,0.0,0.0,0.0,,223468.892817,114315.977014,93070.0831894,67752.3495826,52015.3495826,,-46563.6274318,-41054.7336069,,-155716.543235,
19,Bristol,0.0,57422.89,57422.89,0.0,0.0,,392185.0,0.0,0.0,0.0,0.0,,372954.12,559714.7,559714.7,0.0,0.0,,663932.68,663932.68,663932.68,663932.68,663932.68,,0.0,872362.0,555139.0,872362.0,555139.0,0.0158611509203,475834.527608,,306457.0,297951.0,297951.0,297951.0,297951.0,,44853676.0,37950993.0,37950993.0,37066121.0,37066121.0,45155067.0,,2993728.0,13025426.0,13025426.0,15130162.0,15130162.0,,2486924.88542,0.0,0.0,0.0,0.0,,1276119.0,1836944.0,1836944.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,1095291.43344,1095291.43344,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,50352248.6854,56360037.7034,56042814.7034,54030528.68,53713305.68,,0.0,-5994524.46516,-6189346.77739,-5882126.10763,-5882126.10763,,0.0,1958564.4981,1958564.4981,1958564.4981,1958564.4981,,50352248.6854,52324077.7364,51812032.4241,50106967.0705,49789744.0705,,-2217110.66591,-2022288.35368,,-245281.614945,
20,Brookfield,337.0,18163.27,18163.27,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,14318.04,22389.24,22389.24,0.0,0.0,,305928.62,305928.62,305928.62,305928.62,305928.62,,0.0,192258.0,122346.0,192258.0,122346.0,0.00349560521163,104868.156349,,3582.0,3753.0,3753.0,3753.0,3753.0,,1417583.0,0.0,0.0,0.0,0.0,1547079.0,,665899.0,903182.0,903182.0,0.0,0.0,,118280.896688,0.0,0.0,0.0,0.0,,343611.0,494620.0,494620.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,2203640.55669,1940294.13,1870382.13,501939.62,432027.62,,0.0,-2119038.53991,-2187907.38688,-2079306.20537,-2079306.20537,,0.0,0.0,0.0,0.0,0.0,,2203640.55669,-178744.409909,-317525.256878,-1577366.58537,-1647278.58537,,-1398622.17546,-1329753.3285,,-3781007.14206,
21,Brooklyn,111376.0,95852.91,95852.91,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,140538.42,213429.3,213429.3,0.0,0.0,,242163.19,242163.19,242163.19,242163.19,242163.19,,0.0,130553.0,83079.0,130553.0,83079.0,0.00237369444805,71210.8334416,,33138.0,32494.0,32494.0,32494.0,32494.0,,6975373.0,5277305.0,5277305.0,5028088.0,5028088.0,7022271.0,,369063.0,2053409.0,2053409.0,2483886.0,2483886.0,,10378.5391672,0.0,0.0,0.0,0.0,,103910.0,149576.0,149576.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,7616877.14917,8194782.4,8147308.4,7917184.19,7869710.19,,0.0,-767307.539531,-792245.068757,-752920.392116,-752920.392116,,0.0,0.0,0.0,0.0,0.0,,7616877.14917,7427474.86047,7355063.33124,7164263.79788,7116789.79788,,-263211.062585,-238273.53336,,-452613.351284,
22,Burlington,5437.0,30923.17,30923.17,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,14798.52,22354.69,22354.69,0.0,0.0,,260243.91,260243.91,260243.91,260243.91,260243.91,,0.0,136464.0,86840.0,136464.0,86840.0,0.00248116733556,74435.0200668,,0.0,0.0,0.0,0.0,0.0,,4359350.0,2600498.0,2600498.0,1752191.0,1752191.0,4423332.0,,1086058.0,1262840.0,1262840.0,537795.0,537795.0,,15300.3973584,0.0,0.0,0.0,0.0,,193490.0,278524.0,278524.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,4848619.82736,4591847.77,4542223.77,2686693.91,2637069.91,,0.0,-1276358.64089,-1317840.35359,-1252426.69838,-1252426.69838,,0.0,0.0,0.0,0.0,0.0,,4848619.82736,3315489.12911,3224383.41641,1434267.21162,1384643.21162,,-1881221.91749,-1839740.20479,,-3414352.61574,
23,Canaan,93900.0,69975.7,69975.7,0.0,0.0,,1960.0,1169.0,1169.0,0.0,0.0,,6374.94,9347.84,9347.84,0.0,0.0,,169777.64,169777.64,169777.64,169777.64,169777.64,,0.0,34435.0,21913.0,34435.0,21913.0,0.000626091842537,18782.7552761,,0.0,0.0,0.0,0.0,0.0,,177216.0,1108.0,1108.0,1108.0,1108.0,166865.0,,14210.0,69900.0,69900.0,0.0,0.0,,20712.4211635,0.0,0.0,0.0,0.0,,14793.0,21294.0,21294.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,484734.001163,377007.18,364485.18,205320.64,192798.64,,0.0,-172332.522917,-177933.337591,-169101.25868,-169101.25868,,0.0,0.0,0.0,0.0,0.0,,484734.001163,204674.657083,186551.842409,36219.3813202,23697.3813202,,-168455.275763,-162854.461089,,-448514.619843,
24,Canterbury,327.0,6425.2,6425.2,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,19482.54,28601.14,28601.14,0.0,0.0,,224581.73,224581.73,224581.73,224581.73,224581.73,,0.0,101071.0,64318.0,101071.0,64318.0,0.00183765728523,55129.718557,,13120.0,12664.0,12664.0,12664.0,12664.0,,4665608.0,2472246.0,2472246.0,2298437.0,2298437.0,4574122.0,,174326.0,1146915.0,1146915.0,1305429.0,1305429.0,,2022.33188157,0.0,0.0,0.0,0.0,,58684.0,84475.0,84475.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,4983825.60188,4076979.07,4040226.07,3942182.73,3905429.73,,0.0,-479504.632392,-495088.554311,-470513.83864,-470513.83864,,0.0,0.0,0.0,0.0,0.0,,4983825.60188,3597474.43761,3545137.51569,3471668.89136,3434915.89136,,-125805.546248,-110221.624329,,-1512156.71052,
25,Canton,0.0,19571.96,19571.96,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,13253.46,20236.51,20236.51,0.0,0.0,,261068.53,261068.53,261068.53,261068.53,261068.53,,0.0,125005.0,79549.0,125005.0,79549.0,0.00227282157039,68184.6471117,,2777.0,2482.0,2482.0,2482.0,2482.0,,3403900.0,1506051.0,1506051.0,538666.0,538666.0,3158548.0,,497070.0,781912.0,781912.0,0.0,0.0,,7993.63358866,0.0,0.0,0.0,0.0,,211078.0,303842.0,303842.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,3900070.62359,3020169.0,2974713.0,927221.53,881765.53,,0.0,-1230338.0229,-1270324.06347,-1207268.97484,-1207268.97484,,0.0,0.0,0.0,0.0,0.0,,3900070.62359,1789830.9771,1704388.93653,-280047.44484,-325503.44484,,-2069878.42194,-2029892.38137,,-4180118.06843,
26,Chaplin,50399.0,38160.16,38160.16,38160.16,38160.16,,0.0,0.0,0.0,0.0,0.0,,52643.58,79005.59,79005.59,0.0,0.0,,188998.49,188998.49,188998.49,188998.49,188998.49,,0.0,49965.0,31796.0,49965.0,31796.0,0.00090845589988,27253.6769964,,2877.0,2841.0,2841.0,2841.0,2841.0,,1856992.0,1066825.0,1066825.0,1001503.0,1001503.0,1845457.0,,45125.0,454335.0,454335.0,507364.0,507364.0,,600.745275019,0.0,0.0,0.0,0.0,,48563.0,69906.0,69906.0,0.0,0.0,,10692.0,11177.0,11177.0,0.0,0.0,,0.0,55303.1003566,55303.1003566,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,2211765.81528,2016516.34036,1998347.34036,1788831.65,1770662.65,,0.0,-279788.227928,-288881.357802,-274542.150869,-274542.150869,,0.0,0.0,0.0,0.0,0.0,,2211765.81528,1736728.11243,1709465.98255,1514289.49913,1496120.49913,,-222438.613298,-213345.483423,,-697476.316144,
27,Cheshire,1865136.0,1580065.31,1580065.31,1580065.31,1580065.31,,121350.0,83924.0,83924.0,83924.0,83924.0,,1360626.96,2039431.73,2039431.73,0.0,0.0,,403217.99,403217.99,403217.99,403217.99,403217.99,,0.0,330733.0,210466.0,330733.0,210466.0,0.00601333623806,180400.087142,,23840.0,25964.0,25964.0,25964.0,25964.0,,9436665.0,6098405.0,6098405.0,3728524.0,3728524.0,9636759.0,,831470.0,3399099.0,3399099.0,1061922.0,1061922.0,,736699.778718,0.0,0.0,0.0,0.0,,594084.0,855170.0,855170.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,14541619.7287,14816010.03,14695743.03,7214350.3,7094083.3,,0.0,-3508100.05938,-3622113.46763,-3442322.58412,-3442322.58412,,0.0,0.0,0.0,0.0,0.0,,14541619.7287,11307909.9706,11073629.5624,3772027.71588,3651760.71588,,-7535882.25474,-7421868.84649,,-10769592.0128,
28,Chester,415.0,10876.28,10876.28,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,9664.38,14638.47,14638.47,0.0,0.0,,191022.07,191022.07,191022.07,191022.07,191022.07,,0.0,52580.0,33460.0,52580.0,33460.0,0.000956001425311,28680.0427593,,0.0,0.0,0.0,0.0,0.0,,659216.0,527059.0,527059.0,278072.0,278072.0,690563.0,,58817.0,319762.0,319762.0,21238.0,21238.0,,89264.368272,0.0,0.0,0.0,0.0,,57736.0,83109.0,83109.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,1007317.81827,1199046.82,1179926.82,542912.07,523792.07,,0.0,-310438.532015,-320527.798138,-304617.75652,-304617.75652,,0.0,0.0,0.0,0.0,0.0,,1007317.81827,888608.287985,859399.021862,238294.31348,219174.31348,,-650313.974505,-640224.708381,,-769023.504792,
29,Clinton,0.0,25392.57,25392.57,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,20440.86,30335.51,30335.51,0.0,0.0,,268411.21,268411.21,268411.21,268411.21,268411.21,,0.0,154229.0,98145.0,154229.0,98145.0,0.00280416781712,84125.0345137,,25277.0,26939.0,26939.0,26939.0,26939.0,,6326998.0,839603.0,839603.0,0.0,0.0,6182062.0,,372847.0,1481908.0,1481908.0,309280.0,309280.0,,191673.893774,0.0,0.0,0.0,0.0,,268611.0,386660.0,386660.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,7101411.96377,3213478.29,3157394.29,758859.21,702775.21,,0.0,-1725858.45747,-1781948.93424,-1693498.31663,-1693498.31663,,0.0,0.0,0.0,0.0,0.0,,7101411.96377,1487619.83253,1375445.35576,-934639.106632,-990723.106632,,-2422258.93916,-2366168.46239,,-8036051.07041,
30,Colchester,0.0,89866.2,89866.2,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,43177.2,65787.61,65787.61,0.0,0.0,,349299.86,349299.86,349299.86,349299.86,349299.86,,0.0,215073.0,136865.0,215073.0,136865.0,0.0039104240119,117312.720357,,27866.0,27747.0,27747.0,27747.0,27747.0,,13503310.0,8411265.0,8411265.0,7427233.0,7427233.0,13596490.0,,881257.0,3662376.0,3662376.0,3650473.0,3650473.0,,39009.1020352,0.0,0.0,0.0,0.0,,330363.0,475551.0,475551.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,14293025.162,13296965.67,13218757.67,11669825.86,11591617.86,,0.0,-2081212.49406,-2148851.99285,-2042189.40434,-2042189.40434,,0.0,0.0,0.0,0.0,0.0,,14293025.162,11215753.1759,11069905.6771,9627636.45566,9549428.45566,,-1588116.72028,-1520477.22149,,-4665388.70638,
31,Colebrook,1206.0,3373.69,3373.69,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,6493.08,9848.4,9848.4,0.0,0.0,,201114.97,201114.97,201114.97,201114.97,201114.97,,0.0,45708.0,29087.0,45708.0,29087.0,0.000831055784483,24931.6735345,,350.0,374.0,374.0,374.0,374.0,,491388.0,81186.0,81186.0,4523.0,4523.0,501327.0,,37800.0,167757.0,167757.0,70097.0,70097.0,,549.708508292,0.0,0.0,0.0,0.0,,29694.0,42744.0,42744.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,730795.758508,552106.06,535485.06,321816.97,305195.97,,0.0,-169447.735402,-174954.794353,-166270.561424,-166270.561424,,0.0,0.0,0.0,0.0,0.0,,730795.758508,382658.324598,360530.265647,155546.408576,138925.408576,,-227111.916021,-221604.85707,,-575249.349932,
32,Columbia,167.0,4396.73,4396.73,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,13042.26,19213.07,19213.07,0.0,0.0,,205462.7,205462.7,205462.7,205462.7,205462.7,,0.0,72770.0,46308.0,72770.0,46308.0,0.0013230928817,39692.7864511,,2241.0,2111.0,2111.0,2111.0,2111.0,,2523462.0,1370145.0,1370145.0,1017901.0,1017901.0,2557133.0,,329615.0,1423553.0,1423553.0,1152680.0,1152680.0,,26763.4678186,0.0,0.0,0.0,0.0,,111276.0,160179.0,160179.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,2882414.42782,3257830.5,3231368.5,2450924.7,2424462.7,,0.0,-613199.089858,-633128.087602,-601701.502195,-601701.502195,,0.0,0.0,0.0,0.0,0.0,,2882414.42782,2644631.41014,2598240.4124,1849223.19781,1822761.19781,,-795408.212336,-775479.214593,,-1033191.23001,
33,Cornwall,3149.0,11697.08,11697.08,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,5397.48,8113.93,8113.93,0.0,0.0,,224165.87,224165.87,224165.87,224165.87,224165.87,,0.0,59709.0,37997.0,59709.0,37997.0,0.00108561980038,32568.5940114,,0.0,0.0,0.0,0.0,0.0,,6976.0,1292.0,1292.0,1292.0,1292.0,22237.0,,25276.0,54165.0,54165.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,11269.0,16221.0,16221.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,250957.35,375363.88,353651.88,285166.87,263454.87,,0.0,-192669.568834,-198931.338406,-189056.981512,-189056.981512,,0.0,0.0,0.0,0.0,0.0,,250957.35,182694.311166,154720.541594,96109.8884879,74397.8884879,,-86584.4226782,-80322.653106,,-154847.461512,
34,Coventry,284.0,28081.8,28081.8,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,29278.92,46025.7,46025.7,0.0,0.0,,295270.12,295270.12,295270.12,295270.12,295270.12,,0.0,185564.0,118086.0,185564.0,118086.0,0.00337389593926,101216.878178,,10987.0,10844.0,10844.0,10844.0,10844.0,,8756165.0,5162703.0,5162703.0,4503905.0,4503905.0,8826235.0,,779752.0,2254512.0,2254512.0,2137467.0,2137467.0,,10532.7127333,0.0,0.0,0.0,0.0,,252939.0,364100.0,364100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,9355456.75273,8347100.62,8279622.62,7133050.12,7065572.12,,0.0,-1357866.83478,-1401997.56742,-1332406.59972,-1332406.59972,,0.0,0.0,0.0,0.0,0.0,,9355456.75273,6989233.78522,6877625.05258,5800643.52028,5733165.52028,,-1188590.26494,-1144459.5323,,-3554813.23245,
35,Cromwell,180.0,11565.9,11565.9,0.0,0.0,,2634.0,31560.0,31560.0,0.0,0.0,,23304.6,36254.46,36254.46,0.0,0.0,,276747.27,276747.27,276747.27,276747.27,276747.27,,0.0,154984.0,98626.0,154984.0,98626.0,0.00281789511032,84536.8533095,,17076.0,14033.0,14033.0,14033.0,14033.0,,4646922.0,3825027.0,3825027.0,2779132.0,2779132.0,4743661.0,,424357.0,1796283.0,1796283.0,1407029.0,1407029.0,,31099.4664585,0.0,0.0,0.0,0.0,,288951.0,415938.0,415938.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,5286914.33646,6562392.63,6506034.63,4631925.27,4575567.27,,0.0,-1442832.96633,-1489725.10203,-1415779.60179,-1415779.60179,,0.0,0.0,0.0,0.0,0.0,,5286914.33646,5119559.66367,5016309.52797,3216145.66821,3159787.66821,,-1903413.99546,-1856521.85976,,-2070768.66825, 
36,Danbury,1881851.0,1916257.62,1916257.62,1916257.62,1916257.62,,1258449.0,0.0,0.0,0.0,0.0,,598986.96,898935.1,898935.1,0.0,0.0,,862486.91,862486.91,862486.91,862486.91,862486.91,,0.0,1016013.0,646553.0,1016013.0,646553.0,0.0184729911779,554189.735337,,265828.0,250489.0,250489.0,250489.0,250489.0,,31290480.0,33594209.0,33594209.0,31442996.0,31442996.0,31648573.0,,1108031.0,10515687.0,10515687.0,11122110.0,11122110.0,,1726901.3043,0.0,0.0,0.0,0.0,,2079675.0,2993644.0,2993644.0,0.0,0.0,,593619.0,620540.0,620540.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,40558277.1743,52668261.63,52298801.63,46610352.53,46240892.53,,0.0,-7411219.7541,-7652084.72634,-7272258.11794,-7272258.11794,,0.0,7210831.716,7210831.716,7210831.716,7210831.716,,40558277.1743,52467873.5919,51857548.6197,46548926.1281,46179466.1281,,-5918947.46384,-5678082.4916,,5990648.95376,
